Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
66,632,68,Jun 12,LAA,@,TEX,W9-6,CG(12),6,4,2,2,0,0,2,4,1,0,1,0,0,1,0,0,0,0,.291,.362,.593,.955,2,1.95,0.401,2.44,0.30%,1.70,34.00,47.40,DH
67,633,69,Jun 13,LAA,@,TEX,W7-3,CG,5,2,2,2,1,0,0,0,3,1,0,0,0,0,0,0,1,0,.296,.373,.600,.973,2,.72,0.104,1.00,0.09%,1.22,23.00,30.40,DH
68,634,70,Jun 14,LAA,@,TEX,L3-6,CG,5,4,1,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.299,.377,.610,.987,2,.79,-0.002,1.15,0.00%,1.64,21.00,28.20,DH
69,635,71,Jun 15,LAA,@,TEX,W5-3,CG,4,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.301,.382,.620,1.002,2,1.20,0.240,1.61,0.19%,2.44,20.00,28.20,DH P
70,636,72,Jun 16,LAA,@,KCR,W3-0,CG,5,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,.301,.385,.621,1.006,2,.82,0.064,.93,0.04%,0.67,11.00,15.20,DH
71,637,73,Jun 17,LAA,@,KCR,L9-10,CG,5,4,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,.300,.385,.626,1.012,2,1.49,-0.010,1.90,-0.01%,0.57,18.00,25.20,DH
72,638,74,Jun 18,LAA,@,KCR,W5-2,CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.300,.384,.632,1.015,2,.83,0.151,1.01,0.11%,0.93,16.00,22.20,DH
73,639,75,Jun 20,LAA,,LAD,L0-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.295,.379,.623,1.002,2,1.16,-0.117,1.49,-0.09%,-0.90,0.00,0.00,DH
74,640,76,Jun 21,LAA,,LAD,L0-2,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.292,.377,.616,.993,2,1.32,-0.097,1.58,-0.07%,-0.48,2.00,3.00,DH P
75,641,77,Jun 23,LAA,@,COL,L4-7,CG,5,5,1,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.298,.381,.630,1.010,2,1.20,0.067,1.39,0.05%,0.52,22.00,27.70,DH
76,642,78,Jun 24,LAA,@,COL,W25-1,CG,7,7,1,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,.294,.376,.618,.994,2,.41,-0.040,.44,-0.03%,-1.36,7.00,9.70,DH
77,643,79,Jun 25,LAA,@,COL,L3-4,CG,4,4,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.297,.377,.623,1.001,2,1.27,0.094,1.47,0.07%,1.04,15.00,18.70,DH
78,644,80,Jun 26,LAA,,CHW,W2-1,CG,4,3,1,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,.297,.379,.630,1.009,3,1.48,0.188,1.70,0.13%,1.20,21.00,27.70,DH
79,645,81,Jun 27,LAA,,CHW,W4-2,CG,4,3,2,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,.304,.386,.654,1.039,2,.66,0.260,.80,0.19%,2.78,33.00,43.40,DH P
80,646,82,Jun 28,LAA,,CHW,L5-11,CG,5,5,2,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,.309,.389,.659,1.048,2,.37,0.056,.46,0.04%,0.87,18.00,21.40,DH
81,647,83,Jun 29,LAA,,CHW,L7-9,CG,5,3,1,1,0,0,1,2,2,1,2,0,0,0,0,0,0,0,.309,.392,.666,1.057,3,1.06,0.059,1.26,0.04%,1.74,20.00,28.20,DH
82,648,84,Jun 30,LAA,,ARI,L2-6,CG,4,2,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.310,.396,.674,1.070,2,.58,0.065,.65,0.04%,1.35,20.00,27.90,DH
83,649,85,Jul 1,LAA,,ARI,L1-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.306,.391,.666,1.057,3,1.40,-0.139,1.51,-0.09%,-0.90,0.00,0.00,DH
84,650,86,Jul 2,LAA,,ARI,W5-2,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.306,.390,.670,1.060,3,.49,-0.004,.51,0.00%,0.33,14.00,18.70,DH
85,651,87,Jul 3,LAA,@,SDP,L3-10,CG,5,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.303,.390,.664,1.054,3,1.18,-0.067,1.29,-0.04%,-0.52,4.00,6.00,DH
86,652,88,Jul 4,LAA,@,SDP,L5-8,GS-9,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.300,.387,.658,1.044,3,.94,-0.068,1.00,-0.04%,-0.57,0.00,0.00,DH P
87,653,89,Jul 5,LAA,@,SDP,L3-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.296,.383,.650,1.033,3,1.46,-0.150,1.33,-0.08%,-1.02,0.00,0.00,DH
88,654,90,Jul 7,LAA,@,LAD,L4-11,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.297,.384,.647,1.031,1,.89,0.038,.80,0.02%,0.29,7.00,9.20,DH
89,655,91,Jul 8,LAA,@,LAD,L5-10,CG,5,4,1,3,0,1,1,3,0,0,0,0,0,1,0,0,0,0,.302,.387,.663,1.050,1,.36,0.059,.28,0.03%,2.53,29.00,37.70,DH
90,656,92,Jul 14,LAA,,HOU,L5-7,CG,5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.303,.387,.659,1.046,2,1.08,-0.043,.92,-0.02%,-0.30,8.00,9.20,DH P
91,657,93,Jul 15,LAA,,HOU,W13-12,CG(10),6,5,1,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,.302,.386,.661,1.047,2,1.11,-0.003,.82,0.00%,0.54,16.00,21.70,DH
92,658,94,Jul 16,LAA,,HOU,L8-9,CG,5,4,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.301,.386,.665,1.051,2,.84,0.030,.66,0.01%,0.61,18.00,24.90,DH
93,659,95,Jul 17,LAA,,NYY,W4-3,CG(10),5,4,1,3,1,0,1,2,1,1,1,0,0,0,0,0,0,0,.306,.391,.677,1.068,2,1.60,0.311,.89,0.10%,1.95,26.00,34.20,DH
94,660,96,Jul 18,LAA,,NYY,W5-1,CG,4,3,1,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,.307,.392,.680,1.072,2,.95,0.119,.56,0.04%,1.77,14.00,18.70,DH
95,661,97,Jul 19,LAA,,NYY,W7-3,CG,5,1,2,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,.306,.397,.678,1.075,2,.29,0.040,.21,0.02%,0.98,12.00,18.40,DH
96,662,98,Jul 21,LAA,,PIT,W8-5,CG,4,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.305,.400,.676,1.076,2,.65,0.102,.46,0.04%,1.44,10.00,15.40,DH P
97,663,99,Jul 22,LAA,,PIT,L0-3,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.302,.397,.668,1.065,2,.84,-0.092,.63,-0.04%,-0.83,0.00,0.00,DH
98,664,100,Jul 23,LAA,,PIT,W7-5,CG,4,3,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,.302,.398,.674,1.072,2,.47,0.093,.33,0.04%,1.03,18.00,24.90,DH
99,665,101,Jul 25,LAA,@,DET,W7-6,CG(10),5,3,2,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,.299,.398,.668,1.066,2,.95,0.039,.72,0.02%,0.03,13.00,18.40,DH
100,666,102,Jul 27 (1),LAA,@,DET,W6-0,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.296,.393,.660,1.053,2,.54,-0.066,.45,-0.03%,-1.57,,,P
101,667,103,Jul 27 (2),LAA,@,DET,W11-4,GS-7,3,3,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,.298,.395,.675,1.070,2,.48,0.151,.45,0.09%,2.70,30.00,40.90,DH
102,668,104,Jul 28,LAA,@,TOR,L1-4,GS-9,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.301,.396,.681,1.077,2,.82,0.100,.92,0.07%,0.86,17.00,21.70,DH
103,669,105,Jul 29,LAA,@,TOR,L1-6,CG,5,2,0,1,1,0,0,0,2,2,1,1,0,0,0,0,0,0,.302,.400,.683,1.083,2,1.31,0.148,1.38,0.09%,1.03,11.00,15.00,DH
104,670,106,Jul 30,LAA,@,TOR,W3-2,CG(10),5,3,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,.302,.403,.680,1.083,2,1.61,0.010,1.48,0.01%,0.21,9.00,12.20,DH
105,671,107,Jul 31,LAA,@,ATL,W4-1,CG,5,3,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.305,.407,.680,1.087,2,.83,0.099,.87,0.06%,1.20,10.00,12.00,DH
106,672,108,Aug 1,LAA,@,ATL,L1-5,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.304,.406,.676,1.081,2,1.03,0.013,1.18,0.01%,-0.26,8.00,9.00,DH
107,673,109,Aug 2,LAA,@,ATL,L5-12,CG,4,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.307,.408,.676,1.084,2,.48,0.018,.48,0.01%,1.86,10.00,12.20,DH
108,674,110,Aug 3,LAA,,SEA,L3-5,CG,4,2,2,2,0,0,1,1,2,1,0,0,0,0,0,0,1,0,.310,.413,.685,1.098,2,.82,0.174,.77,0.10%,1.76,28.00,36.90,DH P
109,675,111,Aug 4,LAA,,SEA,L7-9,CG,5,4,1,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,.310,.413,.683,1.096,2,1.71,-0.089,1.30,-0.04%,-0.12,9.00,12.20,DH
110,676,112,Aug 5,LAA,,SEA,L2-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.307,.410,.676,1.086,2,1.48,-0.187,.81,-0.06%,-1.54,0.00,0.00,DH
111,677,113,Aug 6,LAA,,SEA,L2-3,CG(10),4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.306,.409,.672,1.081,2,1.06,-0.063,.50,-0.02%,-0.39,5.00,6.20,DH
112,678,114,Aug 7,LAA,,SFG,L3-8,CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.308,.409,.673,1.082,2,1.22,0.082,.36,0.02%,0.36,15.00,18.20,DH
113,679,115,Aug 8,LAA,,SFG,W7-5,CG,5,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,.307,.409,.669,1.078,2,.65,0.027,.12,0.00%,0.18,14.00,18.70,DH
114,680,116,Aug 9,LAA,,SFG,W4-1,CG,4,2,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,.306,.410,.666,1.076,2,1.26,-0.014,.27,0.00%,0.09,6.00,9.20,DH P
115,681,117,Aug 11,LAA,@,HOU,L3-11,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.305,.409,.662,1.071,2,.50,-0.036,.15,-0.01%,-0.09,3.00,3.00,DH
116,682,118,Aug 12,LAA,@,HOU,L3-11,CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.305,.407,.661,1.068,2,.51,-0.028,.11,0.00%,0.11,7.00,9.20,DH
117,683,119,Aug 13,LAA,@,HOU,W2-1,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,.305,.408,.665,1.073,2,.79,0.153,.13,0.01%,1.31,21.00,27.70,DH
118,684,120,Aug 14,LAA,@,TEX,L0-12,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.303,.406,.661,1.066,2,.45,-0.035,.10,0.00%,-0.67,0.00,0.00,DH
119,685,121,Aug 15,LAA,@,TEX,L3-7,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.302,.405,.657,1.061,2,.77,-0.062,.13,-0.01%,-0.71,3.00,3.00,DH
120,686,122,Aug 16,LAA,@,TEX,W2-0,CG,4,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.306,.407,.664,1.072,2,.68,0.144,.07,0.01%,1.55,20.00,24.70,DH
